,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,커피빈 매장수,브랜드명
110,서울특별시,종로구,커피빈코리아세종문화회,-,126.97546930041901,37.5713410523375,서울특별시 종로구 새문안로9길 25,서울 종로,1,커피빈
111,서울특별시,동작구,커피빈코리아보라매공원,-,126.923516694716,37.4921005826931,서울특별시 동작구 보라매로5길 35,서울 동작,1,커피빈
112,서울특별시,강남구,커피빈코리아선릉로86,-,127.05051384889799,37.5033624806187,서울특별시 강남구 선릉로86길 11,서울 강남,1,커피빈
113,서울특별시,관악구,커피빈코리아서울대입구,-,126.952165618801,37.4795992772291,서울특별시 관악구 관악로 161,서울 관악,1,커피빈
114,서울특별시,강남구,커피빈코리아대치포스코,-,127.056164781276,37.50458815090521,서울특별시 강남구 삼성로85길 11,서울 강남,1,커피빈
115,서울특별시,중구,커피빈코리아동대문두타,-,127.00876107145201,37.5688771077496,서울특별시 중구 장충단로 275,서울 중구,1,커피빈
116,서울특별시,서초구,커피빈코리아서초우성아,-,127.028336934523,37.492720890857704,서울특별시 서초구 사임당로 171,서울 서초,1,커피빈
117,부산광역시,해운대구,더커피빈,-,129.132482667416,35.1698870198936,부산광역시 해운대구 센텀동로 9,부산 해운대,1,커피빈
118,서울특별시,강남구,커피빈,강남대로센터점,127.026044486533,37.5020549661299,서울특별시 강남구 강남대로 442,서울 강남,1,커피빈
119,서울특별시,강남구,커피빈코리아국기원사거,-,127.032149001631,37.496140153869206,서울특별시 강남구 테헤란로8길 42,서울 강남,1,커피빈
120,서울특별시,용산구,커피빈,코리아용산아이파크몰점,126.963222625326,37.527902979157,서울특별시 용산구 한강대로21나길 7,서울 용산,1,커피빈
121,서울특별시,중구,커피빈코리아명동성당앞,-,126.98621571950001,37.5644057026946,서울특별시 중구 명동길 73,서울 중구,1,커피빈
122,서울특별시,광진구,커피빈코리아강변테크노마트점,코리아강변테크노마트점,127.095680669092,37.535713409109995,서울특별시 광진구 광나루로56길 85,서울 광진,1,커피빈
123,서울특별시,강남구,커피빈코리아강남역먹자,-,127.027279995112,37.500100847200606,서울특별시 강남구 테헤란로1길 29,서울 강남,1,커피빈
124,서울특별시,강남구,커피빈코리아트레이드타,-,127.061012608393,37.510348492347795,서울특별시 강남구 영동대로 511,서울 강남,1,커피빈
125,서울특별시,강남구,커피빈,코리아청담점,127.040821546998,37.5254230653213,서울특별시 강남구 선릉로158길 10,서울 강남,1,커피빈
126,서울특별시,송파구,커피빈코리아CBTL잠실홈플러스점,코리아CBTL잠실홈플러스점,127.102985725638,37.5162432391894,서울특별시 송파구 올림픽로35가길 16,서울 송파,1,커피빈
127,부산광역시,동구,커피빈,부산역점,129.045081835992,35.117625470822,부산광역시 동구 중앙대로 206,부산 동구,1,커피빈
128,서울특별시,종로구,커피빈,코리아종로관철동점,126.986715259806,37.5684736910396,서울특별시 종로구 청계천로 83,서울 종로,1,커피빈
129,서울특별시,마포구,커피빈,코리아홍대역점,126.923251025422,37.555459553489705,서울특별시 마포구 홍익로6길 26,서울 마포,1,커피빈
130,부산광역시,부산진구,커피빈,코리아부산서면태화점,129.059500371307,35.1551515820862,부산광역시 부산진구 중앙대로 698-1,부산 부산진,1,커피빈
131,부산광역시,해운대구,커피빈,코리아해운대한화콘도앞점,129.145861210644,35.1540320752488,부산광역시 해운대구 마린시티3로 51,부산 해운대,1,커피빈
132,서울특별시,종로구,커피빈,광화문점,126.978841120047,37.5698024562943,서울특별시 종로구 종로 14,서울 종로,1,커피빈
133,서울특별시,강남구,커피빈,강남KTB점,127.029776927322,37.4950484396584,서울특별시 강남구 강남대로 358,서울 강남,1,커피빈
134,서울특별시,중구,커피빈,명동5호점,126.985394931198,37.5631642235302,서울특별시 중구 명동10길 15,서울 중구,1,커피빈
135,부산광역시,중구,커피빈,부산무역센터점,129.037757663565,35.1058349736802,부산광역시 중구 충장대로 11,부산 중구,1,커피빈
136,서울특별시,강남구,커피빈,수서점,127.10309432439101,37.48731103741361,서울특별시 강남구 광평로 280,서울 강남,1,커피빈
137,서울특별시,광진구,커피빈,건대스타시티점,127.072944230258,37.5369968145663,서울특별시 광진구 아차산로 262,서울 광진,1,커피빈
138,서울특별시,강남구,커피빈,강남역점,127.027611818409,37.49893220765421,서울특별시 강남구 강남대로 406,서울 강남,1,커피빈
139,서울특별시,강남구,커피빈,삼성동EXPRESS점,127.061757425653,37.5150038564702,서울특별시 강남구 봉은사로103길 6,서울 강남,1,커피빈
