,지역,상호,주소,상표,셀프여부,경유
45,대전광역시,금강주유소,대전 서구 갈마로 174 (괴정동),현대오일뱅크,N,-
0,대전광역시,(주)퍼스트오일,대전 유성구  현충원로 213 (갑동),현대오일뱅크,Y,1285
1,대전광역시,롯데마트 서대전점주유소,대전광역시 유성구  유성대로 26-37 (원내동),S-OIL,Y,1295
2,대전광역시,장대주유소,대전 유성구 유성대로 768 (장대동),현대오일뱅크,N,1295
3,대전광역시,계림주유소,대전 유성구 현충원로 201 (갑동),SK에너지,Y,1295
4,대전광역시,(주)에스엘 성림주유소,대전 유성구  유성대로 752번길 2 (장대동),S-OIL,Y,1295
5,대전광역시,위성주유소,대전 유성구 현충원로 489 (장대동),현대오일뱅크,Y,1295
6,대전광역시,화암동셀프주유소,대전 유성구 대덕대로 804 (화암동),현대오일뱅크,Y,1325
7,대전광역시,(주)한진 대정주유소,대전 유성구 대정로 67,S-OIL,Y,1309
8,대전광역시,태평양주유소,대전 유성구 한밭대로 376 (궁동),SK에너지,Y,1317
9,대전광역시,(주)학하 학하셀프주유소,대전 유성구 학하로 189 (복용동),SK에너지,Y,1314
10,대전광역시,지에스칼텍스(주)21세기주유소,대전 유성구 유성대로 845,GS칼텍스,Y,1364
11,대전광역시,KH에너지(주)직영하이웨이 주유소,대전광역시 유성구  현충원로531 (장대동),SK에너지,N,1304
12,대전광역시,한밭대로주유소,대전 유성구 한밭대로 305 (장대동),현대오일뱅크,Y,1354
13,대전광역시,㈜제트에너지서대전주유소,대전광역시 유성구 계백로 212(방동),현대오일뱅크,Y,1319
14,대전광역시,(주)유성하나로셀프주유소,대전 유성구 한밭대로 295 (장대동),SK에너지,Y,1357
15,대전광역시,씨앤에스유통(주)진성주유소,대전 유성구 북유성대로 155 (지족동),S-OIL,Y,1348
16,대전광역시,대성주유소,대전광역시 유성구  아리랑로12 번지(원촌동),S-OIL,Y,1337
17,대전광역시,유성IC주유소,대전 유성구 현충원로 545,GS칼텍스,Y,1309
18,대전광역시,강변주유소,대전 유성구 엑스포로 293 (원촌동),알뜰주유소,N,1334
19,대전광역시,(주)상아에너지,대전 유성구 계백로 476 (방동),GS칼텍스,N,1325
20,대전광역시,구도일태전주유소,대전 유성구 엑스포로 259 (원촌동),S-OIL,Y,1335
21,대전광역시,방동제일주유소,대전 유성구 계백로 324,S-OIL,Y,1325
22,대전광역시,행정타운주유소,대전 유성구 한밭대로 458 (궁동),SK에너지,Y,1357
23,대전광역시,서남부주유소,대전 유성구 유성대로 44 (원내동),GS칼텍스,Y,1329
24,대전광역시,첨단주유소,대전 유성구 가정로 27,SK에너지,N,1339
25,대전광역시,지에스칼텍스(주)원내동주유소,대전 유성구 유성대로 6 (원내동),GS칼텍스,Y,1359
26,대전광역시,주식회사 방동주유소,대전 유성구 계백로 139 (방동),GS칼텍스,Y,1325
27,대전광역시,햇빛주유소,대전 유성구 계백로 87 (송정동),SK에너지,Y,1325
28,대전광역시,관저주유소,대전 유성구 계백로 975  (원내동),현대오일뱅크,Y,1355
29,대전광역시,(주)하나주유소,대전광역시 유성구 유성대로 1127 (하기동),현대오일뱅크,N,1348
30,대전광역시,신성주유소,대전광역시 유성구 가정북로 163,GS칼텍스,Y,1348
31,대전광역시,북대전주유소,대전 유성구 유성대로 1495 (화암동),현대오일뱅크,N,1354
32,대전광역시,하은셀프주유소,대전 유성구 유성대로 614 (구암동),SK에너지,Y,1357
33,대전광역시,(주)황제주유소,대전 유성구 대덕대로 934 (화암동),SK에너지,Y,1357
34,대전광역시,한밭대앞Self주유소,대전광역시 유성구  학하서로 111 (덕명동),S-OIL,Y,1349
35,대전광역시,SK교촌주유소,대전광역시 유성구  유성대로 142 (교촌동),SK에너지,Y,1365
36,대전광역시,지에스칼텍스(주)한빛주유소,대전 유성구 엑스포로 315,GS칼텍스,Y,1369
37,대전광역시,(주)구암상사주유소,대전 유성구 유성대로654번길 32 (구암동),GS칼텍스,N,1363
38,대전광역시,SK진잠주유소,대전 유성구 계백로 899 (원내동),SK에너지,Y,1365
39,대전광역시,대광주유소,대전 유성구 금남구즉로 1355 (봉산동),S-OIL,N,1359
40,대전광역시,진터벌주유소,대전 유성구 유성대로654번길 168 (봉명동),S-OIL,N,1355
41,대전광역시,SK스마트셀프주유소,대전 유성구 엑스포로 222 (원촌동),SK에너지,Y,1375
42,대전광역시,우진주유소,대전 유성구  유성대로654번길 1 (구암동),S-OIL,N,1369
43,대전광역시,지에스칼텍스(주)화암주유소,대전 유성구 대덕대로 887  (화암동),GS칼텍스,Y,1365
44,대전광역시,지에스칼텍스(주)정다운주유소,대전 유성구 북유성대로 51(노은동),GS칼텍스,Y,1374
45,대전광역시,지에스칼텍스(주)유성온천주유소,대전 유성구 도안대로 583 (봉명동),GS칼텍스,N,1374
46,대전광역시,지에스칼텍스(주)충대앞주유소,대전 유성구 대학로 85 (궁동),GS칼텍스,Y,1374
47,대전광역시,지에스칼텍스(주)대덕밸리주유소,대전 유성구 대덕대로 938,GS칼텍스,N,1367
48,대전광역시,엑스포주유소,대전 유성구 대덕대로 542 (도룡동),SK에너지,N,1385
49,대전광역시,지에스칼텍스㈜ 덕명주유소,대전 유성구 현충원로 283 (덕명동),GS칼텍스,Y,1374
50,대전광역시,동일석유(주)테크노밸리주유소(self),대전 유성구 테크노중앙로 139 (용산동),SK에너지,Y,1415
51,대전광역시,GS사이언스 주유소,대전광역시 유성구  대덕대로 539 (가정동),GS칼텍스,Y,1389
52,대전광역시,현대오일뱅크 송강주유소,대전 유성구 대덕대로 1131 (송강동),현대오일뱅크,N,1415
53,대전광역시,GS북유성IC주유소,대전광역시 유성구 북유성대로 408 (외삼동),GS칼텍스,Y,1429
54,대전광역시,SK에너지(주) 대전선경주유소,대전 유성구 유성대로 1647,SK에너지,Y,1395
55,대전광역시,예성주유소,대전광역시 유성구  도안동로 488,SK에너지,Y,1428
56,대전광역시,세종주유소,대전 유성구 북유성대로 288 (하기동),SK에너지,Y,1475
57,대전광역시,온천주유소,대전 유성구 현충원로 342 (구암동),SK에너지,N,1479
58,대전광역시,노은,대전 유성구 노은동로 79,SK에너지,N,1489
59,대전광역시,계룡주유소,대전 유성구 현충원로 177 (갑동),S-OIL,N,1645
0,대전광역시,도서관주유소,대전 광역시 중구 보문산로 353,현대오일뱅크,Y,1245
1,대전광역시,소망주유소,대전 중구 보문산로 307 (문화동),GS칼텍스,Y,1248
2,대전광역시,(주)제트 동서로주유소,대전 중구 동서대로 1293 (오류동),현대오일뱅크,Y,1284
3,대전광역시,태평셀프주유소,대전광역시 중구  동서대로 1244 (태평동),현대오일뱅크,Y,1283
4,대전광역시,천지인주유소,대전 중구 대종로 44 (옥계동),자가상표,Y,1279
